网页频道,#genre#
南昌新闻综合,webview://https://www.nctv.net.cn/live
吉安综合,webview://http://www.ijatv.com/live/jatv1/
吉安公共,webview://http://www.ijatv.com/live/jatv2/
赣州综合,webview://https://www.newskj.net/html/rft/live.html?channelId=722b4fa2b7fa4cf9b01347414b4fbc1a&type=1&siteId=ee5e92ed238644368bd76f8adfe34401&shareAppId=ee5e92ed238644368bd76f8adfe34401
九江新闻综合,webview://https://www.jjntv.cn/live?spm=0.0.0.0.JHNB6X&id=jjtv1
九江公共,webview://https://www.jjntv.cn/live?id=jjtv2
九江教育,webview://https://www.jjntv.cn/live?id=jjfz
宜春综合,webview://https://h5-yc.newsyc.com/front-cloudlive-manage-h5/index.html?id=610897459610271744
宜春公共,webview://http://h5-yc.newsyc.com/front-cloudlive-manage-h5/index.html?id=636127231831396352

宁夏卫视,webview://https://www.nxtv.com.cn/tv/ws/
宁夏公共,webview://https://www.nxtv.com.cn/tv/gg/
宁夏经济,webview://https://www.nxtv.com.cn/tv/jj/
宁夏少儿,webview://https://www.nxtv.com.cn/tv/se/
宁夏文旅,webview://https://www.nxtv.com.cn/tv/ys/
银川公共,webview://https://www.ycen.com.cn/zzgn/zhibo/
银川公共,webview://https://www.qukanvideo.com/cloud/h5/1731639141671136
银川生活,webview://https://www.qukanvideo.com/cloud/h5/1731638744888001
银川文体,webview://https://www.qukanvideo.com/cloud/h5/1728443786945132

青海卫视,webview://https://www.qhbtv.com/new_index/live/folder2646/
青海经视,webview://https://www.qhbtv.com/new_index/live/folder2647/
青海都市,webview://https://www.qhbtv.com/new_index/live/folder2648/
西宁新闻综合,webview://https://www.xntv.tv/xnxwpd
西宁生活服务,webview://https://www.xntv.tv/xnshpd
西宁新闻广播电台,webview://https://www.xntv.tv/xwgb
西宁交通广播电台,webview://https://www.xntv.tv/jtgb

山东卫视,webview://https://v.iqilu.com/live/sdtv/
山东齐鲁,webview://https://v.iqilu.com/live/qlpd/
山东体育,webview://https://v.iqilu.com/live/typd/
山东生活,webview://https://v.iqilu.com/live/shpd/
山东综艺,webview://https://v.iqilu.com/live/zypd/
山东新闻,webview://https://v.iqilu.com/live/ggpd/
山东农科,webview://https://v.iqilu.com/live/nkpd/
山东文旅,webview://https://v.iqilu.com/live/yspd/
山东少儿,webview://https://v.iqilu.com/live/sepd/
青岛-1,webview://http://www.qtv.com.cn/live/tv/index.shtml
青岛-2,webview://http://www.qtv.com.cn/live/tv/tv_qtv2.shtml
青岛-3,webview://http://www.qtv.com.cn/live/tv/tv_qtv3.shtml
青岛-4,webview://http://www.qtv.com.cn/live/tv/tv_qtv4.shtml
青岛-5,webview://http://www.qtv.com.cn/live/tv/tv_qtv5.shtml
青岛-6,webview://http://www.qtv.com.cn/live/tv/tv_qtv6.shtml
东营新闻综合,webview://https://www.hhek.cn/folder4/folder3228/
东营公共,webview://https://www.hhek.cn/folder4/folder38/
东营科教,webview://https://www.hhek.cn/folder4/folder39/
威海新闻综合,webview://http://lv.weihai.tv/live_13705e35636b2136b590e5a015bb801c.html
威海都市生活,webview://http://lv.weihai.tv/live_8bfc704cbba598e76540f5d4f61a0e03.html
威海海洋,webview://http://lv.weihai.tv/live_6dffaf124b89957024f9f31de302d183.html
山东教育电视台,webview://https://www.sdetv.com.cn/edu/pc/live/index.html
济宁1,webview://https://www.jnnews.tv/app/tv/76
济宁2,webview://https://www.jnnews.tv/app/tv/152
济宁3,webview://https://www.jnnews.tv/app/tv/74
东营1,webview://https://www.dongyingnews.cn/v/tv/?id=0
东营2,webview://https://www.dongyingnews.cn/v/tv/?id=1
东营3,webview://https://www.dongyingnews.cn/v/tv/?id=2
潍坊1,webview://http://www.wfcmw.cn/wfrtv_pdLive.html?tv=1
潍坊2,webview://http://www.wfcmw.cn/wfrtv_pdLive.html?tv=2
潍坊3,webview://http://www.wfcmw.cn/wfrtv_pdLive.html?tv=3
潍坊4,webview://http://www.wfcmw.cn/wfrtv_pdLive.html?tv=4
威海1,webview://https://iapp.weihai.tv/share/dHZsLTE1Ny0x.html
威海2,webview://https://iapp.weihai.tv/share/dHZsLTE1Ny0z.html
威海3,webview://https://iapp.weihai.tv/share/dHZsLTE1Ny0xMg.html
聊城电视,webview://http://www.lcxw.cn/kands/
泰安1,webview://http://www.taianxinwen.com/tatv/contents/113/1.html
泰安2,webview://http://live.1545ts.net/zhibotatv2.html

山西卫视,webview://https://www.sxrtv.com/tv/index.shtml
太原新闻综合,webview://https://www.sxtygdy.com/23/23mbdszb/index.shtml
大同新闻综合,webview://https://www.dtradio.com.cn/local/folder25
阳泉新闻综合,webview://https://www.yqrtv.com/folder74/folder139?id=10
阳泉科教,webview://https://www.yqrtv.com/folder74/folder139?id=11
临汾新闻综合,webview://http://live1.lfgdw.cn/lfj/lfj.m3u8?auth_key=1737100271-0-0-21bba4007a396277aae39d96a71150c7
临汾科教,webview://http://live.lfgdw.cn/lfj3/lfj3.m3u8?auth_key=1737526481-0-0-be06f75904e895e6e6e956a60a61476d
临汾公共,webview://http://live2.lfgdw.cn/lfj2/lfj2.m3u8?auth_key=1737100315-0-0-d9f305436c8d56cd2015d6935d9bb6e0
太原电视,webview://https://web.wx.sztv.com.cn/cms/rmt2018/23/23mbdszb/index.shtml
晋城1,webview://http://share.jinnews.com.cn/?_hgOutLink=live/livedetail&channel_id=5
晋城文化生活,webview://http://share.jinnews.com.cn/?_hgOutLink=live/livedetail&channel_id=6
晋中广播电视,webview://https://www.jztvnews.com/
长治1,webview://https://changzhibcnew.zainanjing365.com//share/live/detail?resourceId=21
长治2,webview://https://changzhibcnew.zainanjing365.com//share/live/detail?resourceId=22
长治3,webview://https://changzhibcnew.zainanjing365.com//share/live/detail?resourceId=23
太原,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811850.html
朔州,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811845.html
忻州,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811842.html
阳泉,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811848.html
吕梁,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811840.html
晋中,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811844.html
长治,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811847.html
晋城,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811846.html
临汾,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811841.html
运城,webview://https://apphhpluswebview://https.sxrtv.com//a/b/a/live_wap_811843.html

陕西卫视,webview://http://live.snrtv.com/star
陕西新闻资讯,webview://http://live.snrtv.com/1
陕西都市青春,webview://http://live.snrtv.com/2
陕西银龄,webview://http://live.snrtv.com/3
陕西秦腔,webview://http://live.snrtv.com/5
陕西体育休闲,webview://http://live.snrtv.com/7
陕西农林,webview://http://live.snrtv.com/nl
陕西移动,webview://http://www.sxtvs.com/sxtvs_ydpd/index.html
西安新闻综合,webview://https://v.xiancity.cn/folder8/folder39/folder29/
西安都市,webview://https://v.xiancity.cn/folder8/folder39/folder30/
西安商务资讯,webview://https://v.xiancity.cn/folder8/folder39/folder31/
西安影视,webview://https://v.xiancity.cn/folder8/folder39/folder32/
西安丝路,webview://https://v.xiancity.cn/folder8/folder39/folder33/
榆林综合,webview://https://v.ylrb.com/2/2tsp/zb/dszb/336843.shtml
榆林公共,webview://https://v.ylrb.com/2/2tsp/zb/dszb/336842.shtml
铜川综合,webview://https://www.tcsrm.cn/tvradio/tczhpd.html
铜川公共,webview://https://www.tcsrm.cn/tvradio/tcggpd.html

东方卫视,webview://https://live.kankanews.com/huikan?id=1
上海新闻综合,webview://https://live.kankanews.com/huikan?id=2
上海都市,webview://https://live.kankanews.com/huikan?id=4
第一财经,webview://https://live.kankanews.com/huikan?id=5
哈哈炫动,webview://https://live.kankanews.com/huikan?id=9
五星体育,webview://https://live.kankanews.com/huikan?id=10
魔都眼,webview://https://live.kankanews.com/huikan?id=11
新纪实,webview://https://live.kankanews.com/huikan?id=12
新疆卫视,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=1
新疆2套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=3
新疆3套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=4
新疆4套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=16
新疆5套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=17
新疆7套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=18
新疆8套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=19
新疆9套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=20
新疆10套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=21
新疆11套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=22
新疆12套,webview://https://www.xjtvs.com.cn/column/tv/434?channelId=23
云南卫视,webview://https://www.yntv.cn/live.html
丽江广播电视,webview://https://www.lijiang.cn/live/
红河1,webview://https://www.hh.cn/ynhhzMini/site/tv
临沧综合,webview://https://mtydazzle.yntv.net/live/?companyId=lincang&_id=5f51fa40e4b04f16d0288832
临沧公共,webview://https://mtydazzle.yntv.net/live/?companyId=lincang&_id=5f51f80ee4b04f16d0288801
西双版纳综合,webview://http://m.xsbnrtv.cn/cms-tv?column=100116
怒江综合,webview://https://www.nujiang.cn/html/video/tv/
浙江卫视,webview://https://www.cztv.com/liveTV/101
浙江钱江,webview://https://www.cztv.com/liveTV/102
浙江经济生活,webview://https://www.cztv.com/liveTV/103
浙江教科影视,webview://https://www.cztv.com/liveTV/104
浙江民生休闲,webview://https://www.cztv.com/liveTV/106
浙江新闻,webview://https://www.cztv.com/liveTV/107
浙江少儿,webview://https://www.cztv.com/liveTV/108
浙江国际,webview://https://www.cztv.com/liveTV/110
浙江好易购,webview://https://www.cztv.com/liveTV/111
浙江之江纪录,webview://https://www.cztv.com/liveTV/112
杭州综合,webview://https://tv.hoolo.tv/hzzh/
西湖明珠,webview://https://tv.hoolo.tv/xhmz/
杭州生活,webview://https://tv.hoolo.tv/hzsh/
杭州影视,webview://https://tv.hoolo.tv/utv/
杭州青少体育,webview://https://tv.hoolo.tv/hzse/
杭州文化,webview://https://tv.hoolo.tv/whpd/
宁波-1,webview://https://www.ncmc.nbtv.cn/gbds/folder8458/NBTV1/index.shtml
宁波-2,webview://https://www.ncmc.nbtv.cn/gbds/folder8458/NBTV2/index.shtml
宁波-3,webview://https://www.ncmc.nbtv.cn/gbds/folder8458/NBTV3/index.shtml
宁波-4,webview://https://www.ncmc.nbtv.cn/gbds/folder8458/NBTV4/index.shtml
绍兴公共,webview://https://www.shaoxing.com.cn/app/tv/78
绍兴新闻综合,webview://https://www.shaoxing.com.cn/app/tv/74
绍兴文化影视,webview://http://www.shaoxing.com.cn/app/tv/75





